user_id,segment,persona_name,primary_perk
94883,2,Staycation Bundlers,Hotel/room perks
101486,4,Cautious Evaluators,Risk-reduction perks
106907,0,Explorer Planners,Planning tools + itinerary support
118043,2,Staycation Bundlers,Hotel/room perks
120851,4,Cautious Evaluators,Risk-reduction perks
125845,1,Deal-Driven Flyers,Flight discounting
133058,0,Explorer Planners,Planning tools + itinerary support
149058,1,Deal-Driven Flyers,Flight discounting
152583,2,Staycation Bundlers,Hotel/room perks
153982,1,Deal-Driven Flyers,Flight discounting
160754,4,Cautious Evaluators,Risk-reduction perks
164522,4,Cautious Evaluators,Risk-reduction perks
167852,0,Explorer Planners,Planning tools + itinerary support
171470,0,Explorer Planners,Planning tools + itinerary support
174997,2,Staycation Bundlers,Hotel/room perks
175032,2,Staycation Bundlers,Hotel/room perks
181157,2,Staycation Bundlers,Hotel/room perks
182191,3,Frequent Business Travelers,Loyalty accelerators
187212,2,Staycation Bundlers,Hotel/room perks
189676,4,Cautious Evaluators,Risk-reduction perks
190866,1,Deal-Driven Flyers,Flight discounting
195192,2,Staycation Bundlers,Hotel/room perks
204943,1,Deal-Driven Flyers,Flight discounting
204997,2,Staycation Bundlers,Hotel/room perks
205044,1,Deal-Driven Flyers,Flight discounting
206011,2,Staycation Bundlers,Hotel/room perks
217114,0,Explorer Planners,Planning tools + itinerary support
217136,4,Cautious Evaluators,Risk-reduction perks
220725,1,Deal-Driven Flyers,Flight discounting
224996,4,Cautious Evaluators,Risk-reduction perks
226367,4,Cautious Evaluators,Risk-reduction perks
228195,0,Explorer Planners,Planning tools + itinerary support
228872,4,Cautious Evaluators,Risk-reduction perks
229009,3,Frequent Business Travelers,Loyalty accelerators
229108,0,Explorer Planners,Planning tools + itinerary support
229330,1,Deal-Driven Flyers,Flight discounting
232647,4,Cautious Evaluators,Risk-reduction perks
249521,2,Staycation Bundlers,Hotel/room perks
252835,1,Deal-Driven Flyers,Flight discounting
258451,4,Cautious Evaluators,Risk-reduction perks
264470,4,Cautious Evaluators,Risk-reduction perks
276512,2,Staycation Bundlers,Hotel/room perks
281952,2,Staycation Bundlers,Hotel/room perks
283325,4,Cautious Evaluators,Risk-reduction perks
290123,1,Deal-Driven Flyers,Flight discounting
297546,1,Deal-Driven Flyers,Flight discounting
298253,0,Explorer Planners,Planning tools + itinerary support
299476,2,Staycation Bundlers,Hotel/room perks
306165,0,Explorer Planners,Planning tools + itinerary support
306819,4,Cautious Evaluators,Risk-reduction perks
312488,2,Staycation Bundlers,Hotel/room perks
313724,1,Deal-Driven Flyers,Flight discounting
316527,1,Deal-Driven Flyers,Flight discounting
317688,1,Deal-Driven Flyers,Flight discounting
322867,4,Cautious Evaluators,Risk-reduction perks
324191,2,Staycation Bundlers,Hotel/room perks
328590,1,Deal-Driven Flyers,Flight discounting
330764,1,Deal-Driven Flyers,Flight discounting
330893,1,Deal-Driven Flyers,Flight discounting
331039,3,Frequent Business Travelers,Loyalty accelerators
334787,4,Cautious Evaluators,Risk-reduction perks
337227,0,Explorer Planners,Planning tools + itinerary support
338086,2,Staycation Bundlers,Hotel/room perks
340166,4,Cautious Evaluators,Risk-reduction perks
343928,2,Staycation Bundlers,Hotel/room perks
347778,4,Cautious Evaluators,Risk-reduction perks
348817,1,Deal-Driven Flyers,Flight discounting
348863,0,Explorer Planners,Planning tools + itinerary support
349132,2,Staycation Bundlers,Hotel/room perks
353271,2,Staycation Bundlers,Hotel/room perks
353694,4,Cautious Evaluators,Risk-reduction perks
354050,1,Deal-Driven Flyers,Flight discounting
354260,4,Cautious Evaluators,Risk-reduction perks
354311,4,Cautious Evaluators,Risk-reduction perks
354950,4,Cautious Evaluators,Risk-reduction perks
356046,4,Cautious Evaluators,Risk-reduction perks
357737,1,Deal-Driven Flyers,Flight discounting
359072,4,Cautious Evaluators,Risk-reduction perks
359080,2,Staycation Bundlers,Hotel/room perks
359653,2,Staycation Bundlers,Hotel/room perks
361459,2,Staycation Bundlers,Hotel/room perks
361759,2,Staycation Bundlers,Hotel/room perks
363535,3,Frequent Business Travelers,Loyalty accelerators
365825,4,Cautious Evaluators,Risk-reduction perks
371201,0,Explorer Planners,Planning tools + itinerary support
373489,0,Explorer Planners,Planning tools + itinerary support
374331,2,Staycation Bundlers,Hotel/room perks
374340,0,Explorer Planners,Planning tools + itinerary support
374341,4,Cautious Evaluators,Risk-reduction perks
375160,0,Explorer Planners,Planning tools + itinerary support
375729,2,Staycation Bundlers,Hotel/room perks
375751,1,Deal-Driven Flyers,Flight discounting
376159,4,Cautious Evaluators,Risk-reduction perks
377411,2,Staycation Bundlers,Hotel/room perks
378565,4,Cautious Evaluators,Risk-reduction perks
379543,2,Staycation Bundlers,Hotel/room perks
380434,4,Cautious Evaluators,Risk-reduction perks
380436,2,Staycation Bundlers,Hotel/room perks
380757,1,Deal-Driven Flyers,Flight discounting
380874,2,Staycation Bundlers,Hotel/room perks
380949,1,Deal-Driven Flyers,Flight discounting
381259,2,Staycation Bundlers,Hotel/room perks
381465,3,Frequent Business Travelers,Loyalty accelerators
382181,4,Cautious Evaluators,Risk-reduction perks
382384,4,Cautious Evaluators,Risk-reduction perks
382533,0,Explorer Planners,Planning tools + itinerary support
385689,4,Cautious Evaluators,Risk-reduction perks
386469,0,Explorer Planners,Planning tools + itinerary support
386914,2,Staycation Bundlers,Hotel/room perks
387282,4,Cautious Evaluators,Risk-reduction perks
387783,4,Cautious Evaluators,Risk-reduction perks
388328,2,Staycation Bundlers,Hotel/room perks
388767,4,Cautious Evaluators,Risk-reduction perks
388947,2,Staycation Bundlers,Hotel/room perks
389662,4,Cautious Evaluators,Risk-reduction perks
389759,1,Deal-Driven Flyers,Flight discounting
390811,4,Cautious Evaluators,Risk-reduction perks
392453,4,Cautious Evaluators,Risk-reduction perks
395202,4,Cautious Evaluators,Risk-reduction perks
395981,4,Cautious Evaluators,Risk-reduction perks
396552,1,Deal-Driven Flyers,Flight discounting
399137,1,Deal-Driven Flyers,Flight discounting
399218,4,Cautious Evaluators,Risk-reduction perks
399799,1,Deal-Driven Flyers,Flight discounting
400275,4,Cautious Evaluators,Risk-reduction perks
400582,2,Staycation Bundlers,Hotel/room perks
400899,1,Deal-Driven Flyers,Flight discounting
401245,2,Staycation Bundlers,Hotel/room perks
402332,2,Staycation Bundlers,Hotel/room perks
402978,1,Deal-Driven Flyers,Flight discounting
403881,1,Deal-Driven Flyers,Flight discounting
404879,1,Deal-Driven Flyers,Flight discounting
405305,2,Staycation Bundlers,Hotel/room perks
406210,4,Cautious Evaluators,Risk-reduction perks
407118,3,Frequent Business Travelers,Loyalty accelerators
407250,1,Deal-Driven Flyers,Flight discounting
407434,4,Cautious Evaluators,Risk-reduction perks
407642,4,Cautious Evaluators,Risk-reduction perks
408551,2,Staycation Bundlers,Hotel/room perks
409073,1,Deal-Driven Flyers,Flight discounting
411701,2,Staycation Bundlers,Hotel/room perks
413128,2,Staycation Bundlers,Hotel/room perks
413340,4,Cautious Evaluators,Risk-reduction perks
413418,2,Staycation Bundlers,Hotel/room perks
413658,3,Frequent Business Travelers,Loyalty accelerators
414128,1,Deal-Driven Flyers,Flight discounting
415282,2,Staycation Bundlers,Hotel/room perks
415381,2,Staycation Bundlers,Hotel/room perks
416319,1,Deal-Driven Flyers,Flight discounting
416580,3,Frequent Business Travelers,Loyalty accelerators
417679,2,Staycation Bundlers,Hotel/room perks
418329,2,Staycation Bundlers,Hotel/room perks
418488,1,Deal-Driven Flyers,Flight discounting
418692,2,Staycation Bundlers,Hotel/room perks
420648,4,Cautious Evaluators,Risk-reduction perks
420669,3,Frequent Business Travelers,Loyalty accelerators
421247,1,Deal-Driven Flyers,Flight discounting
421515,1,Deal-Driven Flyers,Flight discounting
421666,4,Cautious Evaluators,Risk-reduction perks
421700,2,Staycation Bundlers,Hotel/room perks
421870,2,Staycation Bundlers,Hotel/room perks
422066,1,Deal-Driven Flyers,Flight discounting
422668,0,Explorer Planners,Planning tools + itinerary support
423042,3,Frequent Business Travelers,Loyalty accelerators
423413,0,Explorer Planners,Planning tools + itinerary support
424553,2,Staycation Bundlers,Hotel/room perks
425632,4,Cautious Evaluators,Risk-reduction perks
425653,0,Explorer Planners,Planning tools + itinerary support
425953,1,Deal-Driven Flyers,Flight discounting
425966,4,Cautious Evaluators,Risk-reduction perks
426478,3,Frequent Business Travelers,Loyalty accelerators
427426,2,Staycation Bundlers,Hotel/room perks
427506,2,Staycation Bundlers,Hotel/room perks
428056,4,Cautious Evaluators,Risk-reduction perks
428552,2,Staycation Bundlers,Hotel/room perks
428858,1,Deal-Driven Flyers,Flight discounting
429345,4,Cautious Evaluators,Risk-reduction perks
429375,3,Frequent Business Travelers,Loyalty accelerators
430722,3,Frequent Business Travelers,Loyalty accelerators
431144,2,Staycation Bundlers,Hotel/room perks
431337,1,Deal-Driven Flyers,Flight discounting
431746,2,Staycation Bundlers,Hotel/room perks
431899,3,Frequent Business Travelers,Loyalty accelerators
431912,0,Explorer Planners,Planning tools + itinerary support
432333,2,Staycation Bundlers,Hotel/room perks
432637,2,Staycation Bundlers,Hotel/room perks
432941,1,Deal-Driven Flyers,Flight discounting
433080,1,Deal-Driven Flyers,Flight discounting
433339,4,Cautious Evaluators,Risk-reduction perks
433905,4,Cautious Evaluators,Risk-reduction perks
434238,2,Staycation Bundlers,Hotel/room perks
434623,1,Deal-Driven Flyers,Flight discounting
435231,4,Cautious Evaluators,Risk-reduction perks
435596,2,Staycation Bundlers,Hotel/room perks
435669,2,Staycation Bundlers,Hotel/room perks
435837,4,Cautious Evaluators,Risk-reduction perks
435882,2,Staycation Bundlers,Hotel/room perks
436320,2,Staycation Bundlers,Hotel/room perks
436894,2,Staycation Bundlers,Hotel/room perks
437069,1,Deal-Driven Flyers,Flight discounting
437162,4,Cautious Evaluators,Risk-reduction perks
437251,1,Deal-Driven Flyers,Flight discounting
437539,1,Deal-Driven Flyers,Flight discounting
437549,2,Staycation Bundlers,Hotel/room perks
438189,1,Deal-Driven Flyers,Flight discounting
438406,2,Staycation Bundlers,Hotel/room perks
438551,2,Staycation Bundlers,Hotel/room perks
438596,4,Cautious Evaluators,Risk-reduction perks
438839,2,Staycation Bundlers,Hotel/room perks
438937,2,Staycation Bundlers,Hotel/room perks
438985,3,Frequent Business Travelers,Loyalty accelerators
438995,0,Explorer Planners,Planning tools + itinerary support
439052,2,Staycation Bundlers,Hotel/room perks
439120,2,Staycation Bundlers,Hotel/room perks
439363,1,Deal-Driven Flyers,Flight discounting
440655,2,Staycation Bundlers,Hotel/room perks
441200,2,Staycation Bundlers,Hotel/room perks
441205,0,Explorer Planners,Planning tools + itinerary support
441448,4,Cautious Evaluators,Risk-reduction perks
441457,2,Staycation Bundlers,Hotel/room perks
441982,1,Deal-Driven Flyers,Flight discounting
442484,2,Staycation Bundlers,Hotel/room perks
442718,2,Staycation Bundlers,Hotel/room perks
442812,4,Cautious Evaluators,Risk-reduction perks
442819,2,Staycation Bundlers,Hotel/room perks
442833,1,Deal-Driven Flyers,Flight discounting
443305,4,Cautious Evaluators,Risk-reduction perks
443453,2,Staycation Bundlers,Hotel/room perks
443652,1,Deal-Driven Flyers,Flight discounting
444387,4,Cautious Evaluators,Risk-reduction perks
444885,2,Staycation Bundlers,Hotel/room perks
445515,2,Staycation Bundlers,Hotel/room perks
446124,1,Deal-Driven Flyers,Flight discounting
446138,1,Deal-Driven Flyers,Flight discounting
446473,2,Staycation Bundlers,Hotel/room perks
446933,1,Deal-Driven Flyers,Flight discounting
447053,2,Staycation Bundlers,Hotel/room perks
447591,4,Cautious Evaluators,Risk-reduction perks
447737,2,Staycation Bundlers,Hotel/room perks
447951,1,Deal-Driven Flyers,Flight discounting
448025,4,Cautious Evaluators,Risk-reduction perks
448154,2,Staycation Bundlers,Hotel/room perks
448295,4,Cautious Evaluators,Risk-reduction perks
448467,4,Cautious Evaluators,Risk-reduction perks
448564,1,Deal-Driven Flyers,Flight discounting
449033,1,Deal-Driven Flyers,Flight discounting
449619,2,Staycation Bundlers,Hotel/room perks
449804,1,Deal-Driven Flyers,Flight discounting
449980,3,Frequent Business Travelers,Loyalty accelerators
450164,1,Deal-Driven Flyers,Flight discounting
450193,4,Cautious Evaluators,Risk-reduction perks
450305,2,Staycation Bundlers,Hotel/room perks
450615,1,Deal-Driven Flyers,Flight discounting
451291,2,Staycation Bundlers,Hotel/room perks
451674,0,Explorer Planners,Planning tools + itinerary support
452034,3,Frequent Business Travelers,Loyalty accelerators
452532,1,Deal-Driven Flyers,Flight discounting
452594,1,Deal-Driven Flyers,Flight discounting
452612,3,Frequent Business Travelers,Loyalty accelerators
453168,4,Cautious Evaluators,Risk-reduction perks
